	Vale
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
a	10
b	11
c	12
d	13
e	14
f	15
g	16
h	17
i	18
j	19
k	20
l	21
m	22
n	23
o	24
p	25
q	26
r	27
s	28
t	29
u	30
v	31
w	32
x	33
y	34
z	35
A	36
B	37
C	38
D	39
E	40
F	41
G	42
H	43
I	44
J	45
K	46
L	47
M	48
N	49
O	50
P	51
Q	52
R	53
S	54
T	55
U	56
V	57
W	58
X	59
Y	60
Z	61
a\	62
b\	63
c\	64
d\	65
e\	66
f\	67
g\	68
h\	69
i\	70
j\	71
k\	72
l\	73
m\	74
n\	75
o\	76
p\	77
q\	78
r\	79
s\	80
t\	81
u\	82
v\	83
w\	84
x\	85
y\	86
z\	87
A\	88
B\	89
C\	90
D\	91
E\	92
F\	93
G\	94
H\	95
I\	96
J\	97
K\	98
L\	99
M\	100
N\	101
O\	102
P\	103
Q\	104
R\	105
S\	106
T\	107
U\	108
V\	109
W\	110
X\	111
Y\	112
Z\	113
